MASK,SUBBRIK,VALUES,LABEL
/data1/psychology/mcraelab/tools/masks/TTatlas_resamp+tlrc,1,71,Rt_Amy
/data1/psychology/mcraelab/tools/masks/TTatlas_resamp+tlrc,1,271,Lt_Amy
